,symbol,sector,longName
109,1711.TW,Basic Materials,Everlight Chemical Industrial Corporation
110,1713.TW,Basic Materials,Cathay Chemical Works Inc.
111,1714.TW,Basic Materials,Ho Tung Chemical Corp.
112,1717.TW,Basic Materials,"Eternal Materials Co., Ltd."
113,1718.TW,Basic Materials,China Man-Made Fiber Corporation
114,1720.TW,Healthcare,"Standard Chem & Pharm CO., LTD."
115,1722.TW,Basic Materials,"Taiwan Fertilizer Co., Ltd."
116,1723.TW,Basic Materials,China Steel Chemical Corporation
117,1726.TW,Basic Materials,"Yung Chi Paint & Varnish Mfg.Co.,Ltd"
118,1731.TW,Healthcare,Maywufa Company Ltd.
119,1733.TW,Healthcare,Apex Biotechnology Corp.
120,1734.TW,Healthcare,"Sinphar Pharmaceutical Co.,Ltd."
121,1736.TW,Consumer Cyclical,"Johnson Health Tech. Co., Ltd."
122,1789.TW,Healthcare,"ScinoPharm Taiwan, Ltd."
123,1795.TW,Healthcare,"Lotus Pharmaceutical Co., Ltd."
124,3164.TW,Healthcare,GenMont Biotech Incorporation
125,3705.TW,Healthcare,YungShin Global Holding Corporation
126,4104.TW,Healthcare,"Excelsior Medical Co., Ltd."
127,4106.TW,Healthcare,Apex Medical Corp.
128,4108.TW,Healthcare,PhytoHealth Corporation
129,4119.TW,Healthcare,"SCI Pharmtech, Inc."
130,4137.TW,Consumer Defensive,Chlitina Holding Limited
131,4141.TW,Basic Materials,Rotam Global AgroSciences Limited
132,4142.TW,Healthcare,Adimmune Corporation
133,4144.TW,Healthcare,Coland Holdings Limited
134,4155.TW,Healthcare,"OK Biotech Co., Ltd."
135,4722.TW,Basic Materials,Qualipoly Chemical Corporation
136,4739.TW,Basic Materials,Coremax Corporation
137,4746.TW,Healthcare,"Formosa Laboratories, Inc."
138,4763.TW,Basic Materials,"Jinan Acetate Chemical Co., Ltd."
139,4766.TW,Basic Materials,"Nan Pao Resins Chemical Co., Ltd."
140,1802.TW,Consumer Cyclical,Taiwan Glass Ind. Corp.
141,1806.TW,Industrials,"Champion Building Materials Co., Ltd."
142,1809.TW,Industrials,"China Glaze Co.,Ltd."
143,1810.TW,Consumer Cyclical,Hocheng Corporation
144,1817.TW,Consumer Defensive,"Sanitar Co., Ltd."
145,1904.TW,Basic Materials,Cheng Loong Corporation
146,1905.TW,Basic Materials,Chung Hwa Pulp Corporation
147,1907.TW,Basic Materials,YFY Inc.
148,1909.TW,Consumer Cyclical,"Longchen Paper & Packaging Co., Ltd."
149,2006.TW,Basic Materials,Tung Ho Steel Enterprise Corporation
150,2009.TW,Basic Materials,"First Copper Technology Co., Ltd."
151,2013.TW,Basic Materials,"China Steel Structure Co., Ltd."
152,2014.TW,Basic Materials,Chung Hung Steel Corporation
153,2017.TW,Basic Materials,"Quintain Steel Co., LTD."
154,2020.TW,Basic Materials,Mayer Steel Pipe Corporation
155,2022.TW,Basic Materials,"Tycoons Group Enterprise Co.,Ltd."
156,2023.TW,Basic Materials,"Yieh Phui Enterprise Co., Ltd."
157,2027.TW,Basic Materials,"Ta Chen Stainless Pipe Co., Ltd."
158,2029.TW,Basic Materials,"Sheng Yu Steel Co., Ltd."
159,2031.TW,Basic Materials,Hsin Kuang Steel Company Limited
160,2034.TW,Basic Materials,"YC Inox Co.,Ltd"
