,symbol,sector,longName
270,2474.TW,Industrials,"Catcher Technology Co., Ltd."
271,2476.TW,Industrials,"G-SHANK Enterprise Co., Ltd."
272,2477.TW,Technology,"Meiloon Industrial Co., Ltd."
273,2478.TW,Technology,"TA-I Technology Co., Ltd."
274,2480.TW,Technology,"Stark Technology, Inc."
275,2481.TW,Technology,Pan Jit International Inc.
276,2484.TW,Technology,"Siward Crystal Technology Co., Ltd."
277,2485.TW,Technology,Zinwell Corporation
278,2488.TW,Technology,"Hanpin Electron Co., Ltd."
279,2492.TW,Industrials,Walsin Technology Corporation
280,2493.TW,Technology,"Ampoc Far-East Co., Ltd."
281,2495.TW,Technology,"Infortrend Technology, Inc."
282,3003.TW,Industrials,K.S. Terminals Inc.
283,3005.TW,Technology,Getac Technology Corporation
284,3006.TW,Technology,Elite Semiconductor Microelectronics Tech Inc
285,3008.TW,Technology,"LARGAN Precision Co.,Ltd"
286,3010.TW,Technology,Wah Lee Industrial Corp.
287,3013.TW,Technology,Chenming Electronic Technology Corporation
288,3014.TW,Technology,ITE Tech. Inc
289,3015.TW,Industrials,FSP Technology Inc.
290,3016.TW,Technology,Episil-Precision Inc.
291,3017.TW,Technology,"Asia Vital Components Co., Ltd."
292,3019.TW,Technology,"Asia Optical Co., Inc."
293,3023.TW,Technology,"SINBON Electronics Co., Ltd."
294,3024.TW,Technology,"Action Electronics Co., Ltd."
295,3026.TW,Technology,"Holy Stone Enterprise Co.,Ltd."
296,3028.TW,Technology,Zenitron Corporation
297,3029.TW,Technology,"Zero One Technology Co.,Ltd."
298,3030.TW,Technology,"Test Research, Inc."
299,3032.TW,Technology,"Compucase Enterprise Co., Ltd."
300,3033.TW,Technology,"Weikeng Industrial Co., Ltd."
301,3035.TW,Technology,Faraday Technology Corporation
302,3037.TW,Technology,Unimicron Technology Corp.
303,3038.TW,Technology,Emerging Display Technologies Corp.
304,3042.TW,Technology,TXC Corporation
305,3044.TW,Technology,Tripod Technology Corporation
306,3045.TW,Communication Services,"Taiwan Mobile Co., Ltd."
307,3048.TW,Technology,"EDOM Technology Co., Ltd."
